PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31732485","Bedaquiline, moxifloxacin, pretomanid, and pyrazinamide during the first 8 weeks of treatment of patients with drug-susceptible or drug-resistant pulmonary tuberculosis: a multicentre, open-label, partially randomised, phase 2b trial","Tweed CD, Dawson R, Burger DA, Conradie A, Crook AM, Mendel CM, Conradie F, Diacon AH, Ntinginya NE, Everitt DE, Haraka F, Li M, van Niekerk CH, Okwera A, Rassool MS, Reither K, Sebe MA, Staples S, Variava E, Spigelman M.","Lancet Respir Med. 2019 Dec;7(12):1048-1058. doi: 10.1016/S2213-2600(19)30366-2. Epub 2019 Nov 12.","Tweed CD","Lancet Respir Med","2019","2019/11/17","PMC7641992","","10.1016/S2213-2600(19)30366-2"
"31106353","Four versus six weeks of antibiotic therapy for osteoarticular infections after implant removal: a randomized trial","Benkabouche M, Racloz G, Spechbach H, Lipsky BA, Gaspoz JM, Uçkay I.","J Antimicrob Chemother. 2019 Aug 1;74(8):2394-2399. doi: 10.1093/jac/dkz202.","Benkabouche M","J Antimicrob Chemother","2019","2019/05/21","","","10.1093/jac/dkz202"
"31035017","Microbiological changes observed over 48 weeks of treatment with inhaled liposomal ciprofloxacin in individuals with non-cystic fibrosis bronchiectasis and chronic Pseudomonas aeruginosa lung infection","VanDevanter DR, Gonda I, Dahms J, Cipolla D, Davis AM, Chalmers JD, Froehlich J.","Clin Microbiol Infect. 2019 Dec;25(12):1532-1538. doi: 10.1016/j.cmi.2019.04.017. Epub 2019 Apr 26.","VanDevanter DR","Clin Microbiol Infect","2019","2019/04/30","","","10.1016/j.cmi.2019.04.017"
"30992295","Two weeks versus four weeks of antibiotic therapy after surgical drainage for native joint bacterial arthritis: a prospective, randomised, non-inferiority trial","Gjika E, Beaulieu JY, Vakalopoulos K, Gauthier M, Bouvet C, Gonzalez A, Morello V, Steiger C, Hirsiger S, Lipsky BA, Uçkay I.","Ann Rheum Dis. 2019 Aug;78(8):1114-1121. doi: 10.1136/annrheumdis-2019-215116. Epub 2019 Apr 16.","Gjika E","Ann Rheum Dis","2019","2019/04/18","PMC6691865","","10.1136/annrheumdis-2019-215116"
"29220542","Safety and efficacy of apremilast through 104 weeks in patients with moderate to severe psoriasis who continued on apremilast or switched from etanercept treatment: findings from the LIBERATE study","Reich K, Gooderham M, Bewley A, Green L, Soung J, Petric R, Marcsisin J, Cirulli J, Chen R, Piguet V.","J Eur Acad Dermatol Venereol. 2018 Mar;32(3):397-402. doi: 10.1111/jdv.14738. Epub 2018 Jan 29.","Reich K","J Eur Acad Dermatol Venereol","2018","2017/12/09","PMC5873268","","10.1111/jdv.14738"
"28416342","Long-term safety and tolerability of apremilast in patients with psoriasis: Pooled safety analysis for ≥156 weeks from 2 phase 3, randomized, controlled trials (ESTEEM 1 and 2)","Crowley J, Thaçi D, Joly P, Peris K, Papp KA, Goncalves J, Day RM, Chen R, Shah K, Ferrándiz C, Cather JC.","J Am Acad Dermatol. 2017 Aug;77(2):310-317.e1. doi: 10.1016/j.jaad.2017.01.052. Epub 2017 Apr 14.","Crowley J","J Am Acad Dermatol","2017","2017/04/19","","","10.1016/j.jaad.2017.01.052"
"26357944","Efficacy and safety of apremilast, an oral phosphodiesterase 4 inhibitor, in patients with moderate-to-severe plaque psoriasis over 52 weeks: a phase III, randomized controlled trial (ESTEEM 2)","Paul C, Cather J, Gooderham M, Poulin Y, Mrowietz U, Ferrandiz C, Crowley J, Hu C, Stevens RM, Shah K, Day RM, Girolomoni G, Gottlieb AB.","Br J Dermatol. 2015 Dec;173(6):1387-99. doi: 10.1111/bjd.14164. Epub 2015 Nov 7.","Paul C","Br J Dermatol","2015","2015/09/12","","","10.1111/bjd.14164"
"26009989","A prospective randomized cohort study evaluating 3 weeks vs 6 weeks of oral antibiotic treatment in the setting of ""maximal medical therapy"" for chronic rhinosinusitis","Sreenath SB, Taylor RJ, Miller JD, Ambrose EC, Rawal RB, Ebert CS Jr, Senior BA, Zanation AM.","Int Forum Allergy Rhinol. 2015 Sep;5(9):820-8. doi: 10.1002/alr.21542. Epub 2015 May 23.","Sreenath SB","Int Forum Allergy Rhinol","2015","2015/05/27","","","10.1002/alr.21542"
"25795076","Efficiency and safety of the combination of moxifloxacin, pretomanid (PA-824), and pyrazinamide during the first 8 weeks of antituberculosis treatment: a phase 2b, open-label, partly randomised trial in patients with drug-susceptible or drug-resistant pulmonary tuberculosis","Dawson R, Diacon AH, Everitt D, van Niekerk C, Donald PR, Burger DA, Schall R, Spigelman M, Conradie A, Eisenach K, Venter A, Ive P, Page-Shipp L, Variava E, Reither K, Ntinginya NE, Pym A, von Groote-Bidlingmaier F, Mendel CM.","Lancet. 2015 May 2;385(9979):1738-1747. doi: 10.1016/S0140-6736(14)62002-X. Epub 2015 Mar 18.","Dawson R","Lancet","2015","2015/03/22","","","10.1016/S0140-6736(14)62002-X"
"25468170","Antibiotic treatment for 6 weeks versus 12 weeks in patients with pyogenic vertebral osteomyelitis: an open-label, non-inferiority, randomised, controlled trial","Bernard L, Dinh A, Ghout I, Simo D, Zeller V, Issartel B, Le Moing V, Belmatoug N, Lesprit P, Bru JP, Therby A, Bouhour D, Dénes E, Debard A, Chirouze C, Fèvre K, Dupon M, Aegerter P, Mulleman D; Duration of Treatment for Spondylodiscitis (DTS) study group.","Lancet. 2015 Mar 7;385(9971):875-82. doi: 10.1016/S0140-6736(14)61233-2. Epub 2014 Nov 5.","Bernard L","Lancet","2015","2014/12/04","","","10.1016/S0140-6736(14)61233-2"
