"Title","Medline PMID","PUI"
"Study Protocol: Seven vs. 14 days treatment for afebrile men with urinary tract infection",,L2010735782
"A comparative study of 14-day dual therapy (esomeprazole and amoxicillin four times daily) and triple plus bismuth therapy for first-line Helicobacter pylori infection eradication: A randomized trial",33040439,L2006921491
"Effect of an emergency department care bundle on 30-day hospital discharge and survival among elderly patients with acute heart failure the ELiSABETH randomized clinical trial",33201202,L633440056
"Efficacy and Cost-effectiveness Comparison of 10-Day, 14-Day Sequential Versus 14-Day Triple Therapies for Treating Helicobacter pylori Infection in Egyptian Patients",31904681,L630618516
"Single-Dose Prophylactic Antibiotic Versus Extended Usage for Four Days in Clean-Contaminated Oncological Surgeries: a Randomized Clinical Trial",,L2005862495
"Amoxicillin for 3 or 5 days for chest-indrawing pneumonia in Malawian children",32609979,L632212383
"10-Day Versus 14-Day Quadruple Concomitant Nonbismuth Therapy for the Treatment of Helicobacter pylori Infection: Results from a Randomized Prospective Study in a High Clarithromycin Resistance Country",32028286,L632464936
"Seven-day vonoprazan and low-dose amoxicillin dual therapy as first-line Helicobacter pylori treatment: A multicentre randomised trial in Japan",31915235,L630577948
"Antibiotic treatment for 6 days versus 12 days in patients with severe cellulitis: a multicentre randomized, double-blind, placebo-controlled, non-inferiority trial",31618678,L2004221330
"INEFFECTIVENESS OF 14-DAY VONOPRAZAN-BASED DUAL THERAPY AND VONOPRAZAN-BASED TRIPLE THERAPY FOR HELICOBACTER PYLORI ERADICATION IN AREA OF HIGH CLARITHROMYCIN RESISTANCE: A PROSPECTIVE RANDOMIZED STUDY",,L2005912448
"An optimised dosing regimen versus a standard dosing regimen of vancomycin for the treatment of late onset sepsis due to Gram-positive microorganisms in neonates and infants aged less than 90 days (NeoVanc): Study protocol for a randomised controlled trial",32293527,L631486047
"The efficacy of two doses versus 7 days' course of prophylactic antibiotics following cesarean section: An experience from Aminu Kano Teaching Hospital",32499466,L632019197
"Evaluation of the efficacy of Lactobacillus plantarum HEAL9 and Lactobacillus paracasei 8700:2 on aspects of common cold infections in children attending day care: a randomised, double-blind, placebo-controlled clinical study",31734734,L2003619575
"A pilot randomized controlled trial of 7 versus 14 days of antibiotic treatment for bloodstream infection on non-intensive care versus intensive care wards",31941546,L630611624
"Non-inferior comparative study comparing one or two day antimicrobial prophylaxis after clean orthopaedic surgery (NOCOTA study): A study protocol for a cluster pseudo-randomized controlled trial comparing duration of antibiotic prophylaxis",31722700,L629863564
"Antimicrobial prophylaxis for 1 day versus 3 days in liver cancer surgery: a randomized controlled non-inferiority trial",31030266,L627427758
"Once-daily rabeprazole, levofloxacin, clarithromycin-MR, and bismuth for Helicobacter pylori eradication: A randomized study of 7 or 14 days (ONCE study)",31282081,L628481194
"Seven Versus 14 Days of Antibiotic Therapy for Uncomplicated Gram-negative Bacteremia: A Noninferiority Randomized Controlled Trial",30535100,L629454421
"Intraoral Surgical Removal of Submandibular Sialoliths as a Day Case Procedure: A Case Series of 72 Patients",,L2002578629
"A Clinical Prediction Rule to Identify Febrile Infants 60 Days and Younger at Low Risk for Serious Bacterial Infections: Kuppermann N, Dayan PS, Levine DA, et al. JAMA Pediatrics. 2019;173(4):342-351",,L2002932297
"High Effective of 14-Day High-Dose PPI- Bismuth-Containing Quadruple Therapy with Probiotics Supplement for Helicobacter Pylori Eradication: A Double Blinded-Randomized Placebo-Controlled Study",31554388,L629433684
"A 5-day course of oral antibiotics followed by faecal transplantation to eradicate carriage of multidrug-resistant Enterobacteriaceae: a randomized clinical trial",30616014,L2001611450
"Efficacy of 7-day vonoprazan and amoxicillin dual therapy as firstline helicobacter pylori treatment: Protocol of multi-center, noninferiority, randomized control trial",,L628632683
"Protocol for a comparison study of 1-day (single dose) versus 2-day prophylactic antibiotic administration in Holmium Laser enucleation of the prostate (HoLEP): a randomized controlled trial",31143442,L627792462
"Efficacy of seven and fourteen days of antibiotic treatment in uncomplicated Staphylococcus aureus bacteremia (SAB7): Study protocol for a randomized controlled trial",31046810,L627462895
"THE EFFICACY OF FOURTEEN-DAYS ESOMEPRAZOLE AND AMOXICILLIN CONTAINING HIGH DOSE DUAL THERAPY IN THE TREATMENT OF FIRST-LINE ANTI-H. PYLORI THERAPY: A PROSPECTIVE RANDOMIZED TRIAL",,L2001915541
"Efficacy and safety of daylight photodynamic therapy after tailored pretreatment with ablative fractional laser or microdermabrasion: a randomized, side-by-side, single-blind trial in patients with actinic keratosis and large-area field cancerization",30117140,L624318950
"Single-dose versus 3-day cotrimoxazole prophylaxis in transurethral resection or greenlight laser vaporisation of the prostate: Study protocol for a multicentre randomised placebo controlled non-inferiority trial (CITrUS trial)",30782183,L626414330
"A 14 day esomeprazole- And amoxicillin-containing high-dose dual therapy regimen achieves a high eradication rate as first-line anti-Helicobacter pylori treatment in Taiwan: a prospective randomized trial",30768161,L629251262
"Penicillin v four times daily for five days versus three times daily for 10 days in patients with pharyngotonsillitis caused by group A streptococci: Randomised controlled, open label, non-inferiority study",31585944,L629508774
"Fourteen-days esomeprazole and amoxicillin containing high dose dual therapy achieved an excellent eradication rate in the treatment of firstline anti-H. pylori therapy: A prospective randomized trial",,L625666709
"Re: Angela Huttner, Arina Kowalczyk, Adi Turjeman, et al. Effect of 5-Day Nitrofurantoin vs Single-dose Fosfomycin on Clinical Resolution of Uncomplicated Lower Urinary Tract Infection in Women: A Randomized Clinical Trial. JAMA 2018;319:1781–9",30318069,L2000926444
"Ten-day high-dose proton pump inhibitor triple therapy versus sequential therapy for Helicobacter pylori eradication",29804294,L624259083
"Ten-day high-dose proton pump inhibitor triple therapy versus sequential therapy for Helicobacter pylori eradication",29804294,L624348685
"14-day sequential therapy versus 10-day bismuth quadruple therapy containing high-dose esomeprazole in the first-line and second-line treatment of Helicobacter pylori: A multicenter, non-inferiority, randomized trial",,L626915736
"Comparison of levofloxacin-based, 10-day sequential therapy with 14-day quadruple therapy for Helicobacter pylori eradication: A randomized clinical trial",,L624097006
"Day versus 14-day quadruple concomitant non bismuth therapy for the treatment of helicobacter pylori infection: Results from a Greek randomized prospective study",,L625969443
"Effect of piperacillin-tazobactam vs meropenem on 30-day mortality for patients with e coli or Klebsiella pneumoniae bloodstream infection and ceftriaxone resistance",30208454,L623899405
"Ten-day quadruple therapy comprising low-dose rabeprazole, bismuth, amoxicillin, and tetracycline is an effective and safe first-line treatment for helicobacter pylori infection in a population with high antibiotic resistance: A prospective, multicenter, randomized, parallel-controlled clinical trial in China",29914954,L623617139
"7-day antibiotic course ‘non-inferior’ to 14 days for treatment of Gram-negative bacteraemia",,L625372327
"Two versus five days of antibiotics after appendectomy for complex acute appendicitis (APPIC): Study protocol for a randomized controlled trial",29720238,L621936411
"BOTH 14-DAY REVERSE HYBRID AND CONCOMITANT THERAPIES CURE MOST PATIENTS WITH HELICOBACTER PYLORI INFECTION IN POPULATIONS WITH MODERATE ANTIBIOTIC RESISTANE: A RANDOMIZED CONTROLLED TRIAL",,L2002336528
"Effect of 5-day Nitrofurantoin vs single-dose fosfomycin on clinical resolution of uncomplicated lower urinary tract infection in women a randomized clinical trial",29710295,L621997876
"Stopping the effective non-fluoroquinolone antibiotics at day 7 vs continuing until day 14 in adults with acute pyelonephritis requiring hospitalization: A randomized non-inferiority trial",29768465,L622166890
"Vonoprazan- vs proton-pump inhibitor-based first-line 7-day triple therapy for clarithromycin-susceptible Helicobacter pylori: A multicenter, prospective, randomized trial",29271026,L619934134
"7-day compared with 10-day antibiotic treatment for febrile urinary tract infections in children: Protocol of a randomised controlled trial",29500209,L621066248
"7 versus 14 days of antibiotic treatment for critically ill patients with bloodstream infection: A pilot randomized clinical trial",29452598,L620699432
"Once-daily oral sarecycline 1.5 mg/kg/day is effective for moderate to severe acne vulgaris: Results from two identically designed, phase 3, randomized, double-blind clinical trials",30235387,L2002452365
"14 Day sequential therapy versus 10 day bismuth quadruple therapy containing high-dose esomeprazole in the first-line and second-line treatment of Helicobacter pylori: A multicentre, non-inferiority, randomized trial",29846605,L624415959
"A randomized controlled trial shows that both 14-day hybrid and bismuth quadruple therapies cure most patients with helicobacter pylori infection in populations with moderate antibiotic resistance",28807915,L618982347
"A comparison of the efficacy of single-dose fosfomycin trometamol versus a 5-day nitrofurantoin regimen in the treatment of UTI among pregnant patients at a tertiary medical centre: A single blind randomised controlled trial",,L619418816
"Ten-Day Quadruple Therapy Comprising Proton Pump Inhibitor, Bismuth, Tetracycline, and Levofloxacin is More Effective than Standard Levofloxacin Triple Therapy in the Second-Line Treatment of Helicobacter pylori Infection: A Randomized Controlled Trial",28719592,L618199325
"Efficacy and safety of seven-day ilaprazole and pantoprazole based triple therapy for the eradication of Helicobacter pylori in peptic ulcer patients: A randomized double-blind multicenter trial",,L618666263
"Efficacy of 7-day and 14-day triple therapy comprising rabeprazole-amoxicillin-tetracycline for Helicobacter pylori eradication in Bhutan: A randomized controlled study",,L618666352
"Comparison of 10-day levofloxacin bismuth-based quadruple therapy and levofloxacin-based triple therapy for Helicobacter pylori",28644575,L618721792
"Ten days of levofloxacin-containing concomitant therapy can achieve effective Helicobacter pylori eradication in patients with type 2 diabetes",28266875,L614708273
"Prevalence of Surgical Site Infections Following Orthognathic Surgery: A Double-Blind, Randomized Controlled Trial on a 3-Day Versus 1-Day Postoperative Antibiotic Regimen",27789268,L613778965
