"Title","Publication Year","Medline PMID","PUI"
"Double-blind study of the efficacy of 1 week topical terbinafine cream compared to 4 weeks miconazole cream in patients with tinea pedis","1999",10561963,L29579073
"One-week ranitidine bismuth citrate in combinations with metronidazole, amoxycillin and clarithromycin in the treatment of Helicobacter pylori infection: The RBC-MACH study","1999",10468684,L29374109
"Head-to-head comparison of 1-week triple regimens combining ranitidine or omeprazole with two antibiotics to eradicate Helicobacter pylori.","1999",10233188,L29219030
"The effect of antibiotic resistance on the outcome of three 1-week triple therapies against Helicobacter pylori","1999",10233191,L29219033
"One-week ranitidine bismuth citrate versus colloidal bismuth subcitrate- based anti-Helicobacter triple therapy: A prospective randomized controlled trial","1999",10086657,L29124872
"The MACH2 study: Role of omeprazole in eradication of Helicobacter pylori with 1-week triple therapies","1999",9922303,L29055345
"Helicobacter pylori eradication and ulcer healing with daily lansoprazole, plus 1 or 2 weeks co-therapy with amoxycillin and clarithromycin","1998",9768531,L28428953
"One-week use of ranitidine bismuth citrate, amoxycillin and clarithromycin for the treatment of Helicobacter pylori-related duodenal ulcer","1998",9726384,L28369877
"Premature rupture of membranes at 34 to 37 weeks' gestation: Aggressive versus conservative management","1998",9465815,L28302806
"One-week therapy for Helicobacter pylori eradication: Ranitidine bismuth citrate plus medium-dose clarithromycin and either tinidazole or amoxycillin","1998",9678813,L28289442
"Two-week course of pantoprazole combined with 1 week of amoxycillin and clarithromycin is effective in Helicobacter pylori eradication and duodenal ulcer healing","1998",9678814,L28289443
"New one-week triple therapies with metronidazole for the eradication of Helicobacter pylori: Clarithromycin or amoxycillin as the second antibiotic","1998",9527978,L28083555
"Randomized clinical trial comparing two one-week triple-therapy regimens for the eradication of Helicobacter pylori infection and duodenal ulcer healing","1998",9448170,L29065509
"Comparison of two 1-week low-dose omeprazole triple therapies - Optimal treatment for Helicobacter pylori infection","1997",9663838,L27525104
"One-week therapy with omeprazole, clarithromycin and metronidazole or ornidazole, followed by 3 weeks' treatment with omeprazole, eradicates Helicobacter pylori equally and heals duodenal ulcer","1997",9471024,L28039701
"One-week antibiotics versus maintenance acid suppression therapy for Helicobacter pylori-associated peptic ulcer bleeding","1997",9440631,L28103791
"Pantoprazole versus omeprazole in one-week low-dose triple therapy for cure of H. pylori infection [3]","1997",9382084,L27440935
"Prophylaxis against disseminated Mycobacterium avium complex with weekly azithromycin, daily rifabutin, or both","1996",8676932,L26257247
"Comparison of one or two weeks of lansoprazole, amoxicillin, and clarithromycin in the treatment of Helicobacter pylori.","1996",9398880,L128202049
"Treatment of Helicobacter pylori infection: summary of a meeting at the Fourth United European Gastroenterology Week, September 20, 1995.","1996",9398889,L128202058
"Erythema migrans: Three weeks treatment for prevention of late Lyme borreliosis","1996",8852474,L26062745
"Management of premature rupture of the membranes after 34 weeks' gestation - Early versus delayed induction of labour","1996",8658299,L26134753
"Efficacy and optimum dose of omeprazole in a new 1-week triple therapy regimen to eradicate Helicobacter pylori","1995",8574714,L25287730
"Once-weekly administration of dapsone/pyrimethamine vs. aerosolized pentamidine as combined prophylaxis for Pneumocystis carinii pneumonia and toxoplasmic encephalitis in human immunodeficiency virus-infected patients","1995",7756472,L25076164
"Randomized study comparing 1 with 2 weeks of quadruple therapy for eradicating Helicobacter pylori","1994",7942724,L24334239
