"Title","Publication Year","Medline PMID","PUI"
"Double-blind study of the efficacy of 1 week topical terbinafine cream compared to 4 weeks miconazole cream in patients with tinea pedis","1999",10561963,L29579073
"Therapy of special HIV-associated diseases: HCV-HIV-co-infection and AIDS-related Kaposi's sarcoma - official satellite to the 7th European Conference on Clinical Aspects and Treatment of HIV-infection, October 23, 1999 in Lisbon, Portugal.","1999",10611054,L31274756
"The impact of vancomycin administration on prevention of hemodialysis catheter-related infections","1999",,L29577109
"Ofloxacin as monotherapy in the treatment of neutropenic fever","1999",,L34073678
"Cost effectiveness of ciprofloxacin plus metronidazole versus imipenem- cilastatin in the treatment of intra-abdominal infections","1999",10662480,L29533680
"Prospective, randomized, double-blind trial comparing teicoplanin and cefazolin as antibiotic prophylaxis in prosthetic vascular surgery","1999",10357049,L29527950
"Multicenter randomized placebo controlled trial of therapy with intravenous immunoglobulin in decreasing mortality due to neonatal sepsis","1999",10745332,L29551301
"Duration of antibiotic prophylaxis in high-risk patients with penetrating abdominal trauma: a prospective randomized trial.","1999",10554373,L31266028
"Evaluation of the usefulness of suction drainage in the treatment of nonspecific bone infections monitored with C-reactive protein","1999",10748773,L31305726
"A randomized trial of endoscopic versus open saphenous vein harvest in coronary bypass surgery","1999",10543556,L29544395
"Topical antiseptic agent after large loop excision of the transformation zone: Results of a randomised controlled trial","1999",15512377,L29433392
"An open, randomized, multicentre study comparing the use of low-dose ceftazidime or cefotaxime, both in combination with netilmicin, in febrile neutropenic patients","1999",10511404,L29425688
"Puerperal septic pelvic thrombophlebitis: Incidence and response to heparin therapy","1999",10411810,L29343345
"A randomized prospective trial of amphotericin B lipid emulsion versus dextrose colloidal solution in critically ill patients","1999",10452470,L29387769
"Prelabour rupture of the membranes at term - No advantage of delaying induction for 24 hours","1999",10554936,L29431485
"No benefit of long-term ciprofloxacin treatment in patients with reactive arthritis and undifferentiated oligoarthritis: A three-month, multicenter, double-blind, randomized, placebo-controlled study","1999",10403266,L30265596
"Prospective and randomized comparison of early versus delayed prophylactic administration of granulocyte colony-stimulating factor (filgrastim) in children with cancer","1999",10219332,L29196279
"Isoprinosine does not protect against frequent respiratory tract infections in childhood","1999",9950305,L29143576
"Dysuria - Trial to rationalize management in general practice with a guideline","1999",,L29157183
"Intravenous and oral mono- or combination-therapy in the treatment of severe infections: Ciprofloxacin versus standard antibiotic therapy","1999",10225582,L29123511
"Failure of a 1-day high-dose quadruple therapy for cure of Helicobacter pylori infection","1999",10102947,L29090012
"The duration of antibiotic administration in penetrating abdominal trauma","1999",10204554,L29143006
"A randomized controlled clinical trial on piperacillin/tazobactam versus ticarcillin/clavulanic acid for the treatment of bacterial infections","1998",11189212,L28536561
"Chorioamnionitis: Is continuation of antibiotic therapy necessary after cesarean section?","1998",9822512,L28533783
"Randomised trial of efficacy and safety of inhaled zanamivir in treatment of influenza A and B virus infections","1998",9863784,L28561247
