"Title","Publication Year","Medline PMID","PUI"
"Recombinant human C1 esterase inhibitor (conestat alfa) in the prevention of severe SARS-CoV-2 infection in hospitalized patients with COVID-19: A structured summary of a study protocol for a randomized, parallel-group, open-label, multi-center pilot trial (PROTECT-COVID-19)","2021",33397449,L2007742406
"A Phase I/II Clinical Trial to evaluate the efficacy of baricitinib to prevent respiratory insufficiency progression in onco-hematological patients affected with COVID19: A structured summary of a study protocol for a randomised controlled trial","2021",33546739,L2010385578
"Echinacea reduces antibiotic usage in children through respiratory tract infection prevention: a randomized, blinded, controlled clinical trial","2021",33832544,L2011109455
"Natural tannin extracts supplementation for COVID-19 patients (TanCOVID): a structured summary of a study protocol for a randomized controlled trial","2021",33910614,L2011327603
"Microbiome recovery in adult females with uncomplicated urinary tract infections in a randomised phase 2A trial of the novel antibiotic gepotidacin (GSK140944)","2021",34130619,L2012837461
"Impact of duration of antibiotic prophylaxis on rates of surgical site infection (SSI) in patients undergoing mastectomy without immediate reconstruction, comparing a single prophylactic dose versus continued antibiotic prophylaxis postoperatively: A multicentre, double-blinded randomised control trial protocol","2021",34244280,L635452362
"The effect of amoxicillin in adult patients presenting to primary care with acute cough predicted to have pneumonia or a combined viral-bacterial infection","2021",,L2007815321
"QT effects of bedaquiline, delamanid, or both in patients with rifampicin-resistant tuberculosis: a phase 2, open-label, randomised, controlled trial","2021",33587897,L2011175545
"Latamoxef for Neonates With Early-Onset Neonatal Sepsis: A Study Protocol for a Randomized Controlled Trial","2021",,L635340476
"Antibiotic prophylaxis for sagittal split ramus osteotomy using resorbable plate and screw fixation: a randomised trial to compare extended dual-agent and inpatient single-agent regimens","2021",33518395,L2010850401
"Comparison between the prophylactic effects of amoxicillin 24 and 48 hours pre-operatively on surgical site infections in Japanese patients with impacted mandibular third molars: A prospective cohort study","2021",33583740,L2011014593
"Miniperc vs Shockwave Lithotripsy for Average-Sized, Radiopaque Lower Pole Calculi: A Prospective Randomized Study","2021",27676117,L635379403
"Antibiotic therapy for 6 or 12 weeks for prosthetic joint infection","2021",34042388,L635123891
"Efficacy and safety of the point-of-care procalcitonin test for determining the antibiotic treatment duration in patients with ventilator-associated pneumonia in the intensive care unit: a randomised controlled trial","2021",34006044,L635091564
