"Title","Publication Year","Medline PMID","PUI"
"Hospital discharge on the first compared with the second day after a planned cesarean delivery had equivalent maternal postpartum outcomes: a randomized single-blind controlled clinical trial","2021",34193059,L2013013091
"Effect of 7 vs 14 Days of Antibiotic Therapy on Resolution of Symptoms among Afebrile Men with Urinary Tract Infection: A Randomized Clinical Trial","2021",,L635622126
"Day-case catheterless and drainless minimal-access pyeloplasty in adults: A single-center experience of 13 years","2021",33615563,L2010540735
"Seven versus Ten Days Antibiotics Course for Acute Pyogenic Meningitis in Children: A Randomized Controlled Trial","2021",32857331,L2006009905
"Study Protocol: Seven vs. 14 days treatment for afebrile men with urinary tract infection","2021",,L2010735782
"A comparative study of 14-day dual therapy (esomeprazole and amoxicillin four times daily) and triple plus bismuth therapy for first-line Helicobacter pylori infection eradication: A randomized trial","2020",33040439,L2006921491
"Effect of an emergency department care bundle on 30-day hospital discharge and survival among elderly patients with acute heart failure the ELiSABETH randomized clinical trial","2020",33201202,L633440056
"Efficacy and Cost-effectiveness Comparison of 10-Day, 14-Day Sequential Versus 14-Day Triple Therapies for Treating Helicobacter pylori Infection in Egyptian Patients","2020",31904681,L630618516
"Single-Dose Prophylactic Antibiotic Versus Extended Usage for Four Days in Clean-Contaminated Oncological Surgeries: a Randomized Clinical Trial","2020",,L2005862495
"Amoxicillin for 3 or 5 days for chest-indrawing pneumonia in Malawian children","2020",32609979,L632212383
"10-Day Versus 14-Day Quadruple Concomitant Nonbismuth Therapy for the Treatment of Helicobacter pylori Infection: Results from a Randomized Prospective Study in a High Clarithromycin Resistance Country","2020",32028286,L632464936
"Seven-day vonoprazan and low-dose amoxicillin dual therapy as first-line Helicobacter pylori treatment: A multicentre randomised trial in Japan","2020",31915235,L630577948
"Antibiotic treatment for 6 days versus 12 days in patients with severe cellulitis: a multicentre randomized, double-blind, placebo-controlled, non-inferiority trial","2020",31618678,L2004221330
"INEFFECTIVENESS OF 14-DAY VONOPRAZAN-BASED DUAL THERAPY AND VONOPRAZAN-BASED TRIPLE THERAPY FOR HELICOBACTER PYLORI ERADICATION IN AREA OF HIGH CLARITHROMYCIN RESISTANCE: A PROSPECTIVE RANDOMIZED STUDY","2020",,L2005912448
"An optimised dosing regimen versus a standard dosing regimen of vancomycin for the treatment of late onset sepsis due to Gram-positive microorganisms in neonates and infants aged less than 90 days (NeoVanc): Study protocol for a randomised controlled trial","2020",32293527,L631486047
"The efficacy of two doses versus 7 days' course of prophylactic antibiotics following cesarean section: An experience from Aminu Kano Teaching Hospital","2020",32499466,L632019197
